sample	farm	CFU_NA	CFU_NA_AMP
1	A	3432477	154677
2	A	2726922	111606
3	A	334908	21007
4	A	407523	18564
5	A	746149	30293
6	A	1650120	61194
7	A	108146697	6410270
8	A	34080095	1830032
9	A	13559331	534586
10	A	148643	8011
11	A	86761	3130
12	A	1396881	64079
13	A	7702640	475980
14	A	835155	32149
15	A	838887	49538
16	A	70382	3932
17	A	129028573	6303167
18	A	375096	20445
19	A	3728355	80265
20	A	224320	7352
21	A	10960836	647096
22	A	1745057	91336
23	A	3098287	223231
24	A	556738	25468
25	A	35207942	1768997
26	B	32905	9162
27	B	287034	87867
28	B	1265053	396609
29	B	9279274	2712383
30	B	5050771	1540350
31	B	255909	77819
32	B	2748589	826444
33	B	252250	69947
34	B	44255	12963
35	B	7991931	2311343
36	B	350845	107062
37	B	2544642	782746
38	B	1384914	422976
39	B	13659881	4054860
40	B	178303	53204
41	B	98554	28913
42	B	8256274	2597663
43	B	6478525	1888572
44	B	11550090	3367763
45	B	240388	71608
46	B	26193554	7568448
47	B	652284	206568
48	B	606308	173937
49	B	500189	148291
50	B	1624610	491614
