farm plate cfu
A NA_plate 86645.92273020893
A NA_Amp_plate 5491.589326480446
A NA_plate 182870.97645452243
A NA_Amp_plate 9452.589836001313
A NA_plate 5361217.708129753
A NA_Amp_plate 238220.02402640186
A NA_plate 1221237.361246852
A NA_Amp_plate 55342.69315439868
A NA_plate 163377.98205265144
A NA_Amp_plate 9663.810412072711
A NA_plate 23736482.682733346
A NA_Amp_plate 1274059.6539817404
A NA_plate 15518.054346712412
A NA_Amp_plate 779.13202767548
A NA_plate 221334.3906238328
A NA_Amp_plate 6553.835667501918
A NA_plate 3182406.490382235
A NA_Amp_plate 111782.51977482025
A NA_plate 27134833.45529347
A NA_Amp_plate 997865.9633503113
A NA_plate 1527063.3840920785
A NA_Amp_plate 99755.51054534098
A NA_plate 143914.1579239951
A NA_Amp_plate 9248.034555657016
A NA_plate 769435.4306404613
A NA_Amp_plate 41902.214845939976
A NA_plate 6279078.269453703
A NA_Amp_plate 400736.57548606273
A NA_plate 541894.4458011303
A NA_Amp_plate 33711.00605053146
A NA_plate 30083.54437753437
A NA_Amp_plate 1763.8723894325979
A NA_plate 2070807.6093007177
A NA_Amp_plate 112183.02037431908
A NA_plate 526014.0905612226
A NA_Amp_plate 25339.700668504927
A NA_plate 1042873.4509185571
A NA_Amp_plate 29529.428162132906
A NA_plate 232158.15051102728
A NA_Amp_plate 12753.509608471915
A NA_plate 39635155.23918214
A NA_Amp_plate 2103253.4779441576
A NA_plate 426699.5122028293
A NA_Amp_plate 19969.37560533288
A NA_plate 214538.8524251844
A NA_Amp_plate 12480.255233925925
A NA_plate 10304.810536698948
A NA_Amp_plate 745.294834136999
A NA_plate 18398209.381246332
A NA_Amp_plate 752280.3828974792
B NA_plate 337967.35017451475
B NA_Amp_plate 108110.86132400967
B NA_plate 20799872.485093046
B NA_Amp_plate 6025101.531901612
B NA_plate 30639.662241076734
B NA_Amp_plate 9055.725719836164
B NA_plate 22044870.448349055
B NA_Amp_plate 6845234.491704329
B NA_plate 151935660.3082689
B NA_Amp_plate 44647084.910545155
B NA_plate 5030205.277086716
B NA_Amp_plate 1473364.2950897152
B NA_plate 219678.3539530014
B NA_Amp_plate 65403.84241518519
B NA_plate 84699.17697082579
B NA_Amp_plate 27498.43134355611
B NA_plate 37792.195422231576
B NA_Amp_plate 10871.012704458162
B NA_plate 1554418.856458703
B NA_Amp_plate 466659.50714172836
B NA_plate 222446.8095877531
B NA_Amp_plate 67653.59719325116
B NA_plate 71569.96390443656
B NA_Amp_plate 19682.232150710428
B NA_plate 32189925.9154289
B NA_Amp_plate 9783387.07176129
B NA_plate 904159.8673691934
B NA_Amp_plate 262822.74910768773
B NA_plate 60613.42448853229
B NA_Amp_plate 17481.010391095326
B NA_plate 238740.79878469862
B NA_Amp_plate 71995.35221669402
B NA_plate 324722.1740642526
B NA_Amp_plate 94914.07011419898
B NA_plate 777426.6774269262
B NA_Amp_plate 217373.91234250134
B NA_plate 1785851.9292702056
B NA_Amp_plate 550603.4991037091
B NA_plate 5606296.59483783
B NA_Amp_plate 1595557.206810693
B NA_plate 1025366.2738726321
B NA_Amp_plate 291460.74195379316
B NA_plate 17153.81982038346
B NA_Amp_plate 4902.8698172592385
B NA_plate 11575.623668903165
B NA_Amp_plate 3286.6617297293355
B NA_plate 14709875.427880198
B NA_Amp_plate 4349492.166062649
B NA_plate 44664863.764520146
B NA_Amp_plate 13517017.875597816
